StartDate (mm/dd/yyyy),Age,Attrition,BusinessTravel,Performance Score,Department,DistanceFromHome (miles),Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate (Dollars),JobInvolvement,JobLevel,JobRole,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
2/13/2000,35,No,Travel_Rarely,809,Research & Development,16,Bachelor,Medical,14,Low,Male,84,Very High,1,Laboratory Technician,Married,2426,16479,0,Y,No,13,Excellent,80,1,6,5,3,5,4,0,3
2/14/2000,29,No,Travel_Rarely,153,Research & Development,15,College,Life Sciences,15,Very High,Female,49,Medium,2,Laboratory Technician,Single,4193,12682,0,Y,Yes,12,Excellent,80,0,10,3,3,9,5,0,8
2/15/2000,31,No,Travel_Rarely,670,Research & Development,26,Below College,Life Sciences,16,Low,Male,31,High,1,Research Scientist,Divorced,2911,15170,1,Y,No,17,Excellent,80,1,5,1,2,5,2,4,3
2/16/2000,34,No,Travel_Rarely,1346,Research & Development,19,College,Medical,18,Medium,Male,93,High,1,Laboratory Technician,Divorced,2661,8758,0,Y,No,11,Average,80,1,3,2,3,2,2,1,2
2/17/2000,28,Yes,Travel_Rarely,103,Research & Development,24,Bachelor,Life Sciences,19,High,Male,50,Medium,1,Laboratory Technician,Single,2028,12947,5,Y,Yes,14,Excellent,80,0,6,4,3,4,2,0,3
2/18/2000,29,No,Travel_Rarely,1389,Research & Development,21,Master,Life Sciences,20,Medium,Female,51,Very High,3,Manufacturing Director,Divorced,9980,10195,1,Y,No,11,Excellent,80,1,10,1,3,10,9,8,8
2/19/2000,32,No,Travel_Rarely,334,Research & Development,5,College,Life Sciences,21,Low,Male,80,Very High,1,Research Scientist,Divorced,3298,15053,0,Y,Yes,12,Excellent,80,2,7,5,2,6,2,0,5
2/20/2000,22,No,Non-Travel,1123,Research & Development,16,College,Medical,22,Very High,Male,96,Very High,1,Laboratory Technician,Divorced,2935,7324,1,Y,Yes,13,Poor,80,2,1,2,2,1,0,0,0
2/21/2000,53,No,Travel_Rarely,1219,Sales,2,Master,Life Sciences,23,Low,Female,78,Medium,4,Manager,Married,15427,22021,2,Y,No,16,Excellent,80,0,31,3,3,25,8,3,7
2/22/2000,38,No,Travel_Rarely,371,Research & Development,2,Bachelor,Life Sciences,24,Very High,Male,45,High,1,Research Scientist,Single,3944,4306,5,Y,Yes,11,Excellent,80,0,6,3,3,3,2,1,2
2/23/2000,24,No,Non-Travel,673,Research & Development,11,College,Other,26,Low,Female,96,Very High,2,Manufacturing Director,Divorced,4011,8232,0,Y,No,18,Excellent,80,1,5,5,2,4,2,1,3
2/24/2000,36,Yes,Travel_Rarely,1218,Sales,9,Master,Life Sciences,27,High,Male,82,Medium,1,Sales Representative,Single,3407,6986,7,Y,No,23,Outstanding,80,0,10,4,3,5,3,0,3
2/25/2000,34,No,Travel_Rarely,419,Research & Development,7,Master,Life Sciences,28,Low,Female,53,High,3,Research Director,Single,11994,21293,0,Y,No,11,Excellent,80,0,13,4,3,12,6,2,11
2/26/2000,21,No,Travel_Rarely,391,Research & Development,15,College,Life Sciences,30,High,Male,96,High,1,Research Scientist,Single,1232,19281,1,Y,No,14,Excellent,80,0,0,6,3,0,0,0,0
2/27/2000,34,Yes,Travel_Rarely,699,Research & Development,6,Below College,Medical,31,Medium,Male,83,High,1,Research Scientist,Single,2960,17102,2,Y,No,11,Excellent,80,0,8,2,3,4,2,1,3
2/28/2000,53,No,Travel_Rarely,1282,Research & Development,5,Bachelor,Other,32,High,Female,58,High,5,Manager,Divorced,19094,10735,4,Y,No,11,Excellent,80,1,26,3,2,14,13,4,8
2/29/2000,32,Yes,Travel_Frequently,1125,Research & Development,16,Below College,Life Sciences,33,Medium,Female,72,Low,1,Research Scientist,Single,3919,4681,1,Y,Yes,22,Outstanding,80,0,10,5,3,10,2,6,7
3/4/2001,42,No,Travel_Rarely,691,Sales,8,Master,Marketing,35,High,Male,48,High,2,Sales Executive,Married,6825,21173,0,Y,No,11,Excellent,80,1,10,2,3,9,7,4,2
3/5/2001,44,No,Travel_Rarely,477,Research & Development,7,Master,Medical,36,Low,Female,42,Medium,3,Healthcare Representative,Married,10248,2094,3,Y,No,14,Excellent,80,1,24,4,3,22,6,5,17
3/6/2001,46,No,Travel_Rarely,705,Sales,2,Master,Marketing,38,Medium,Female,83,High,5,Manager,Single,18947,22822,3,Y,No,12,Average,80,0,22,2,2,2,2,2,1
3/7/2001,33,No,Travel_Rarely,924,Research & Development,2,Bachelor,Medical,39,High,Male,78,High,1,Laboratory Technician,Single,2496,6670,4,Y,No,11,Excellent,80,0,7,3,3,1,1,0,0
3/8/2001,44,No,Travel_Rarely,1459,Research & Development,10,Master,Other,40,Very High,Male,41,High,2,Healthcare Representative,Married,6465,19121,2,Y,Yes,13,Excellent,80,0,9,5,4,4,2,1,3
3/9/2001,30,No,Travel_Rarely,125,Research & Development,9,College,Medical,41,Very High,Male,83,Medium,1,Laboratory Technician,Single,2206,16117,1,Y,No,13,Excellent,80,0,10,5,3,10,0,1,8
3/10/2005,39,Yes,Travel_Rarely,895,Sales,5,Bachelor,Technical Degree,42,Very High,Male,56,High,2,Sales Representative,Married,2086,3335,3,Y,No,14,Excellent,80,1,19,6,4,1,0,0,0
3/11/2005,24,Yes,Travel_Rarely,813,Research & Development,1,Bachelor,Medical,45,Medium,Male,61,High,1,Research Scientist,Married,2293,3020,2,Y,Yes,16,Excellent,80,1,6,2,2,2,0,2,0
3/12/2005,43,No,Travel_Rarely,1273,Research & Development,2,College,Medical,46,Very High,Female,72,Very High,1,Research Scientist,Divorced,2645,21923,1,Y,No,12,Excellent,80,2,6,3,2,5,3,1,4
3/13/2005,50,Yes,Travel_Rarely,869,Sales,3,College,Marketing,47,Low,Male,86,Medium,1,Sales Representative,Married,2683,3810,1,Y,Yes,14,Poor,80,0,3,2,3,3,2,0,2
3/14/2005,35,No,Travel_Rarely,890,Sales,2,Bachelor,Marketing,49,Very High,Female,97,High,1,Sales Representative,Married,2014,9687,1,Y,No,13,Excellent,80,0,2,3,3,2,2,2,2
3/15/2005,36,No,Travel_Rarely,852,Research & Development,5,Master,Life Sciences,51,Medium,Female,82,Medium,1,Research Scientist,Married,3419,13072,9,Y,Yes,14,Excellent,80,1,6,3,4,1,1,0,0
3/16/2005,33,No,Travel_Frequently,1141,Sales,1,Bachelor,Life Sciences,52,High,Female,42,Very High,2,Sales Executive,Married,5376,3193,2,Y,No,19,Excellent,80,2,10,3,3,5,3,1,3
3/17/2005,35,No,Travel_Rarely,464,Research & Development,4,College,Other,53,High,Male,75,High,1,Laboratory Technician,Divorced,1951,10910,1,Y,No,12,Excellent,80,1,1,3,3,1,0,0,0
3/18/2005,27,No,Travel_Rarely,1240,Research & Development,2,Master,Life Sciences,54,Very High,Female,33,High,1,Laboratory Technician,Divorced,2341,19715,1,Y,No,13,Excellent,80,1,1,6,3,1,0,0,0
3/19/2005,26,Yes,Travel_Rarely,1357,Research & Development,25,Bachelor,Life Sciences,55,Low,Male,48,Low,1,Laboratory Technician,Single,2293,10558,1,Y,No,12,Excellent,80,0,1,2,2,1,0,0,1
3/20/2005,27,No,Travel_Frequently,994,Sales,8,Bachelor,Life Sciences,56,Very High,Male,37,High,3,Sales Executive,Single,8726,2975,1,Y,No,15,Excellent,80,0,9,0,3,9,8,1,7
3/21/2005,30,No,Travel_Frequently,721,Research & Development,1,College,Medical,57,High,Female,58,High,2,Laboratory Technician,Single,4011,10781,1,Y,No,23,Outstanding,80,0,12,2,3,12,8,3,7
3/22/2005,41,Yes,Travel_Rarely,1360,Research & Development,12,Bachelor,Technical Degree,58,Medium,Female,49,High,5,Research Director,Married,19545,16280,1,Y,No,12,Excellent,80,0,23,0,3,22,15,15,8
3/23/2005,34,No,Non-Travel,1065,Sales,23,Master,Marketing,60,Medium,Male,72,High,2,Sales Executive,Single,4568,10034,0,Y,No,20,Outstanding,80,0,10,2,3,9,5,8,7
6/5/2010,37,No,Travel_Rarely,408,Research & Development,19,College,Life Sciences,61,Medium,Male,73,High,1,Research Scientist,Married,3022,10227,4,Y,No,21,Outstanding,80,0,8,1,3,1,0,0,0
6/6/2010,46,No,Travel_Frequently,1211,Sales,5,Master,Marketing,62,Low,Male,98,High,2,Sales Executive,Single,5772,20445,4,Y,Yes,21,Average,80,0,14,4,3,9,6,0,8
6/7/2010,35,No,Travel_Rarely,1229,Research & Development,8,Below College,Life Sciences,63,Very High,Male,36,Very High,1,Laboratory Technician,Married,2269,4892,1,Y,No,19,Excellent,80,0,1,2,3,1,0,0,1
6/8/2010,48,Yes,Travel_Rarely,626,Research & Development,1,College,Life Sciences,64,Low,Male,98,Medium,3,Laboratory Technician,Single,5381,19294,9,Y,Yes,13,Excellent,80,0,23,2,3,1,0,0,0
6/9/2010,28,Yes,Travel_Rarely,1434,Research & Development,5,Master,Technical Degree,65,High,Male,50,High,1,Laboratory Technician,Single,3441,11179,1,Y,Yes,13,Excellent,80,0,2,3,2,2,2,2,2
6/10/2010,44,No,Travel_Rarely,1488,Sales,1,Doctor,Marketing,68,Medium,Female,75,High,2,Sales Executive,Divorced,5454,4009,5,Y,Yes,21,Outstanding,80,1,9,2,2,4,3,1,3
6/11/2010,35,No,Non-Travel,1097,Research & Development,11,College,Medical,70,High,Male,79,Medium,3,Healthcare Representative,Married,9884,8302,2,Y,Yes,13,Excellent,80,1,10,3,3,4,0,2,3
6/12/2010,26,No,Travel_Rarely,1443,Sales,23,Bachelor,Marketing,72,High,Female,47,Medium,2,Sales Executive,Married,4157,21436,7,Y,Yes,19,Excellent,80,1,5,2,2,2,2,0,0
6/13/2010,33,No,Travel_Frequently,515,Research & Development,1,College,Life Sciences,73,Low,Female,98,High,3,Research Director,Single,13458,15146,1,Y,Yes,12,Excellent,80,0,15,1,3,15,14,8,12
6/14/2010,35,No,Travel_Frequently,853,Sales,18,Doctor,Life Sciences,74,Medium,Male,71,High,3,Sales Executive,Married,9069,11031,1,Y,No,22,Outstanding,80,1,9,3,2,9,8,1,8
6/15/2010,35,No,Travel_Rarely,1142,Research & Development,23,Master,Medical,75,High,Female,30,High,1,Laboratory Technician,Married,4014,16002,3,Y,Yes,15,Excellent,80,1,4,3,3,2,2,2,2
7/1/2020,31,No,Travel_Rarely,655,Research & Development,7,Master,Life Sciences,76,Very High,Male,48,High,2,Laboratory Technician,Divorced,5915,9528,3,Y,No,22,Outstanding,80,1,10,3,2,7,7,1,7
7/2/2020,37,No,Travel_Rarely,1115,Research & Development,1,Master,Life Sciences,77,Low,Male,51,Medium,2,Manufacturing Director,Divorced,5993,2689,1,Y,No,18,Excellent,80,1,7,2,4,7,5,0,7
7/3/2020,32,No,Travel_Rarely,427,Research & Development,1,Bachelor,Medical,78,Low,Male,33,High,2,Manufacturing Director,Married,6162,10877,1,Y,Yes,22,Outstanding,80,1,9,3,3,9,8,7,8
7/4/2020,38,No,Travel_Frequently,653,Research & Development,29,Doctor,Life Sciences,79,Very High,Female,50,High,2,Laboratory Technician,Single,2406,5456,1,Y,No,11,Excellent,80,0,10,2,3,10,3,9,9
7/5/2020,50,No,Travel_Rarely,989,Research & Development,7,College,Medical,80,Medium,Female,43,Medium,5,Research Director,Divorced,18740,16701,5,Y,Yes,12,Excellent,80,1,29,2,2,27,3,13,8
7/6/2020,59,No,Travel_Rarely,1435,Sales,25,Bachelor,Life Sciences,81,Low,Female,99,High,3,Sales Executive,Single,7637,2354,7,Y,No,11,Average,80,0,28,3,2,21,16,7,9
7/7/2020,36,No,Travel_Rarely,1223,Research & Development,8,Bachelor,Technical Degree,83,High,Female,59,High,3,Healthcare Representative,Divorced,10096,8202,1,Y,No,13,Average,80,3,17,2,3,17,14,12,8
7/8/2020,55,No,Travel_Rarely,836,Research & Development,8,Bachelor,Medical,84,Very High,Female,33,High,4,Manager,Divorced,14756,19730,2,Y,Yes,14,Average,80,3,21,2,3,5,0,0,2
7/9/2020,36,No,Travel_Frequently,1195,Research & Development,11,Bachelor,Life Sciences,85,Medium,Male,95,Medium,2,Manufacturing Director,Single,6499,22656,1,Y,No,13,Average,80,0,6,3,3,6,5,0,3
4/5/2023,45,No,Travel_Rarely,1339,Research & Development,7,Bachelor,Life Sciences,86,Medium,Male,59,High,3,Research Scientist,Divorced,9724,18787,2,Y,No,17,Average,80,1,25,2,3,1,0,0,0
4/6/2023,35,No,Travel_Frequently,664,Research & Development,1,Bachelor,Medical,88,Medium,Male,79,High,1,Research Scientist,Married,2194,5868,4,Y,No,13,Average,80,1,5,2,2,3,2,1,2
4/7/2023,36,Yes,Travel_Rarely,318,Research & Development,9,Bachelor,Medical,90,Very High,Male,79,Medium,1,Research Scientist,Married,3388,21777,0,Y,Yes,17,Average,80,1,2,0,2,1,0,0,0
4/8/2023,59,No,Travel_Frequently,1225,Sales,1,Below College,Life Sciences,91,Low,Female,57,Medium,2,Sales Executive,Single,5473,24668,7,Y,No,11,Excellent,80,0,20,2,2,4,3,1,3
4/9/2023,29,No,Travel_Rarely,1328,Research & Development,2,Bachelor,Life Sciences,94,High,Male,76,High,1,Research Scientist,Married,2703,4956,0,Y,No,23,Outstanding,80,1,6,3,3,5,4,0,4
4/10/2023,31,No,Travel_Rarely,1082,Research & Development,1,Master,Medical,95,High,Male,87,High,1,Research Scientist,Single,2501,18775,1,Y,No,17,Excellent,80,0,1,4,3,1,1,1,0
4/11/2023,32,No,Travel_Rarely,548,Research & Development,1,Bachelor,Life Sciences,96,Medium,Male,66,High,2,Research Scientist,Married,6220,7346,1,Y,No,17,Excellent,80,2,10,3,3,10,4,0,9
4/12/2023,36,No,Travel_Rarely,132,Research & Development,6,Bachelor,Life Sciences,97,Medium,Female,55,Very High,1,Laboratory Technician,Married,3038,22002,3,Y,No,12,Excellent,80,0,5,3,3,1,0,0,0
4/13/2023,31,No,Travel_Rarely,746,Research & Development,8,Master,Life Sciences,98,High,Female,61,High,2,Manufacturing Director,Single,4424,20682,1,Y,No,23,Outstanding,80,0,11,2,3,11,7,1,8
4/14/2023,35,No,Travel_Rarely,776,Sales,1,Master,Marketing,100,High,Male,32,Medium,2,Sales Executive,Single,4312,23016,0,Y,No,14,Excellent,80,0,16,2,3,15,13,2,8
4/15/2023,45,No,Travel_Rarely,193,Research & Development,6,Master,Other,101,Very High,Male,52,High,3,Research Director,Married,13245,15067,4,Y,Yes,14,Excellent,80,0,17,3,4,0,0,0,0
4/16/2023,37,No,Travel_Rarely,397,Research & Development,7,Master,Medical,102,Low,Male,30,High,3,Research Director,Single,13664,25258,4,Y,No,13,Excellent,80,0,16,3,4,5,2,0,2
4/17/2023,46,No,Travel_Rarely,945,Human Resources,5,College,Medical,103,Medium,Male,80,High,2,Human Resources,Divorced,5021,10425,8,Y,Yes,22,Outstanding,80,1,16,2,3,4,2,0,2
4/18/2023,30,No,Travel_Rarely,852,Research & Development,1,Below College,Life Sciences,104,Very High,Male,55,Medium,2,Laboratory Technician,Married,5126,15998,1,Y,Yes,12,Excellent,80,2,10,1,2,10,8,3,0
4/19/2023,35,No,Travel_Rarely,1214,Research & Development,1,Bachelor,Medical,105,Medium,Male,30,Medium,1,Research Scientist,Single,2859,26278,1,Y,No,18,Excellent,80,0,6,3,3,6,4,0,4
4/20/2023,55,No,Travel_Rarely,111,Sales,1,College,Life Sciences,106,Low,Male,70,High,3,Sales Executive,Married,10239,18092,3,Y,No,14,Excellent,80,1,24,4,3,1,0,1,0
4/21/2023,38,No,Non-Travel,573,Research & Development,6,Bachelor,Medical,107,Medium,Female,79,Low,2,Research Scientist,Divorced,5329,15717,7,Y,Yes,12,Excellent,80,3,17,3,3,13,11,1,9
4/22/2023,34,No,Travel_Rarely,1153,Research & Development,1,College,Medical,110,Low,Male,94,High,2,Manufacturing Director,Married,4325,17736,1,Y,No,15,Excellent,80,0,5,2,3,5,2,1,3
4/23/2023,56,No,Travel_Rarely,1400,Research & Development,7,Bachelor,Life Sciences,112,Very High,Male,49,Low,3,Manufacturing Director,Single,7260,21698,4,Y,No,11,Excellent,80,0,37,3,2,6,4,0,2
4/24/2023,23,No,Travel_Rarely,541,Sales,2,Below College,Technical Degree,113,High,Male,62,High,1,Sales Representative,Divorced,2322,9518,3,Y,No,13,Excellent,80,1,3,3,3,0,0,0,0
4/25/2023,51,No,Travel_Rarely,432,Research & Development,9,Master,Life Sciences,116,Very High,Male,96,High,1,Laboratory Technician,Married,2075,18725,3,Y,No,23,Outstanding,80,2,10,4,3,4,2,0,3
8/3/2014,30,No,Travel_Rarely,288,Research & Development,2,Bachelor,Life Sciences,117,High,Male,99,Medium,2,Healthcare Representative,Married,4152,15830,1,Y,No,19,Excellent,80,3,11,3,3,11,10,10,8
8/4/2014,46,Yes,Travel_Rarely,669,Sales,9,College,Medical,118,High,Male,64,Medium,3,Sales Executive,Single,9619,13596,1,Y,No,16,Excellent,80,0,9,3,3,9,8,4,7
8/5/2014,40,No,Travel_Frequently,530,Research & Development,1,Master,Life Sciences,119,High,Male,78,Medium,4,Healthcare Representative,Married,13503,14115,1,Y,No,22,Outstanding,80,1,22,3,2,22,3,11,11
8/6/2014,51,No,Travel_Rarely,632,Sales,21,Master,Marketing,120,High,Male,71,High,2,Sales Executive,Single,5441,8423,0,Y,Yes,22,Outstanding,80,0,11,2,1,10,7,1,0
8/7/2014,30,No,Travel_Rarely,1334,Sales,4,College,Medical,121,High,Female,63,Medium,2,Sales Executive,Divorced,5209,19760,1,Y,Yes,12,Excellent,80,3,11,4,2,11,8,2,7
8/8/2014,46,No,Travel_Frequently,638,Research & Development,1,Bachelor,Medical,124,High,Male,40,Medium,3,Healthcare Representative,Married,10673,3142,2,Y,Yes,13,Excellent,80,1,21,5,2,10,9,9,5
8/9/2014,32,No,Travel_Rarely,1093,Sales,6,Master,Medical,125,Medium,Male,87,High,2,Sales Executive,Single,5010,24301,1,Y,No,16,Excellent,80,0,12,0,3,11,8,5,7
8/10/2014,54,No,Travel_Rarely,1217,Research & Development,2,Master,Technical Degree,126,Low,Female,60,High,3,Research Director,Married,13549,24001,9,Y,No,12,Excellent,80,1,16,5,1,4,3,0,3
8/11/2014,24,No,Travel_Rarely,1353,Sales,3,College,Other,128,Low,Female,33,High,2,Sales Executive,Married,4999,17519,0,Y,No,21,Outstanding,80,1,4,2,2,3,2,0,2
5/10/2000,28,No,Non-Travel,120,Sales,4,Bachelor,Medical,129,Medium,Male,43,High,2,Sales Executive,Married,4221,8863,1,Y,No,15,Excellent,80,0,5,3,4,5,4,0,4
5/11/2000,58,No,Travel_Rarely,682,Sales,10,Master,Medical,131,Very High,Male,37,High,4,Sales Executive,Single,13872,24409,0,Y,No,13,Excellent,80,0,38,1,2,37,10,1,8
5/12/1999,44,No,Non-Travel,489,Research & Development,23,Bachelor,Medical,132,Medium,Male,67,High,2,Laboratory Technician,Married,2042,25043,4,Y,No,12,Poor,80,1,17,3,4,3,2,1,2
5/13/1999,37,Yes,Travel_Rarely,807,Human Resources,6,Master,Human Resources,133,High,Male,63,High,1,Human Resources,Divorced,2073,23648,4,Y,Yes,22,Outstanding,80,0,7,3,3,3,2,0,2
5/14/1999,32,No,Travel_Rarely,827,Research & Development,1,Below College,Life Sciences,134,Very High,Male,71,High,1,Research Scientist,Single,2956,15178,1,Y,No,13,Excellent,80,0,1,2,3,1,0,0,0
5/15/1999,20,Yes,Travel_Frequently,871,Research & Development,6,Bachelor,Life Sciences,137,Very High,Female,66,Medium,1,Laboratory Technician,Single,2926,19783,1,Y,Yes,18,Excellent,80,0,1,5,3,1,0,1,0
5/16/1999,34,No,Travel_Rarely,665,Research & Development,6,Master,Other,138,Low,Female,41,High,2,Research Scientist,Single,4809,12482,1,Y,No,14,Excellent,80,0,16,3,3,16,13,2,10
5/17/1999,37,No,Non-Travel,1040,Research & Development,2,College,Life Sciences,139,High,Male,100,Medium,2,Healthcare Representative,Divorced,5163,15850,5,Y,No,14,Excellent,80,1,17,2,4,1,0,0,0
5/18/1999,59,No,Non-Travel,1420,Human Resources,2,Master,Human Resources,140,High,Female,32,Medium,5,Manager,Married,18844,21922,9,Y,No,21,Outstanding,80,1,30,3,3,3,2,2,2
5/19/1999,50,No,Travel_Frequently,1115,Research & Development,1,Bachelor,Life Sciences,141,Low,Female,73,High,5,Research Director,Married,18172,9755,3,Y,Yes,19,Excellent,80,0,28,1,2,8,3,0,7
5/20/1999,25,Yes,Travel_Rarely,240,Sales,5,Bachelor,Marketing,142,High,Male,46,Medium,2,Sales Executive,Single,5744,26959,1,Y,Yes,11,Excellent,80,0,6,1,3,6,4,0,3
5/21/2000,25,No,Travel_Rarely,1280,Research & Development,7,Below College,Medical,143,Very High,Male,64,Medium,1,Research Scientist,Married,2889,26897,1,Y,No,11,Average,80,2,2,2,3,2,2,2,1
5/22/2000,22,No,Travel_Rarely,534,Research & Development,15,Bachelor,Medical,144,Medium,Female,59,High,1,Laboratory Technician,Single,2871,23785,1,Y,No,15,Excellent,80,0,1,5,3,0,0,0,0
5/23/2000,51,No,Travel_Frequently,1456,Research & Development,1,Master,Medical,145,Low,Female,30,Medium,3,Healthcare Representative,Single,7484,25796,3,Y,No,20,Outstanding,80,0,23,1,2,13,12,12,8
5/24/2000,34,Yes,Travel_Frequently,658,Research & Development,7,Bachelor,Life Sciences,147,Low,Male,66,Low,2,Laboratory Technician,Single,6074,22887,1,Y,Yes,24,Outstanding,80,0,9,3,3,9,7,0,6
5/25/2000,54,No,Non-Travel,142,Human Resources,26,Bachelor,Human Resources,148,Very High,Female,30,Very High,4,Manager,Single,17328,13871,2,Y,Yes,12,Excellent,80,0,23,3,3,5,3,4,4
5/26/2000,24,No,Travel_Rarely,1127,Research & Development,18,Below College,Life Sciences,150,Medium,Male,52,High,1,Laboratory Technician,Married,2774,13257,0,Y,No,12,Excellent,80,1,6,2,3,5,3,1,2
5/27/2000,34,No,Travel_Rarely,1031,Research & Development,6,Master,Life Sciences,151,High,Female,45,Medium,2,Research Scientist,Divorced,4505,15000,6,Y,No,15,Excellent,80,1,12,3,3,1,0,0,0
5/28/2000,37,No,Travel_Rarely,1189,Sales,3,Bachelor,Life Sciences,152,High,Male,87,High,3,Sales Executive,Single,7428,14506,2,Y,No,12,Excellent,80,0,12,3,3,5,3,1,3
5/29/2000,34,No,Travel_Rarely,1354,Research & Development,5,Bachelor,Medical,153,High,Female,45,Medium,3,Manager,Single,11631,5615,2,Y,No,12,Excellent,80,0,14,6,3,11,10,5,8
5/30/2000,36,No,Travel_Frequently,1467,Sales,11,College,Technical Degree,154,Medium,Female,92,High,3,Sales Executive,Married,9738,22952,0,Y,No,14,Excellent,80,1,10,6,3,9,7,2,8
5/31/2000,36,No,Travel_Rarely,922,Research & Development,3,College,Life Sciences,155,Low,Female,39,High,1,Laboratory Technician,Divorced,2835,2561,5,Y,No,22,Outstanding,80,1,7,2,3,1,0,0,0
6/1/2000,43,No,Travel_Frequently,394,Sales,26,College,Life Sciences,158,High,Male,92,High,4,Manager,Married,16959,19494,1,Y,Yes,12,Excellent,80,2,25,3,4,25,12,4,12
6/2/2000,30,No,Travel_Frequently,1312,Research & Development,23,Bachelor,Life Sciences,159,Low,Male,96,Low,1,Research Scientist,Divorced,2613,22310,1,Y,No,25,Outstanding,80,3,10,2,2,10,7,0,9
6/3/2000,33,No,Non-Travel,750,Sales,22,College,Marketing,160,High,Male,95,High,2,Sales Executive,Married,6146,15480,0,Y,No,13,Excellent,80,1,8,2,4,7,7,0,7
6/4/2000,56,Yes,Travel_Rarely,441,Research & Development,14,Master,Life Sciences,161,Medium,Female,72,High,1,Research Scientist,Married,4963,4510,9,Y,Yes,18,Excellent,80,3,7,2,3,5,4,4,3
6/5/2000,51,No,Travel_Rarely,684,Research & Development,6,Bachelor,Life Sciences,162,Low,Male,51,High,5,Research Director,Single,19537,6462,7,Y,No,13,Excellent,80,0,23,5,3,20,18,15,15
6/6/2000,31,Yes,Travel_Rarely,249,Sales,6,Master,Life Sciences,163,Medium,Male,76,Low,2,Sales Executive,Married,6172,20739,4,Y,Yes,18,Excellent,80,0,12,3,2,7,7,7,7
6/7/2000,26,No,Travel_Rarely,841,Research & Development,6,Bachelor,Other,164,High,Female,46,Medium,1,Research Scientist,Married,2368,23300,1,Y,No,19,Excellent,80,0,5,3,2,5,4,4,3
6/8/2000,58,Yes,Travel_Rarely,147,Research & Development,23,Master,Medical,165,Very High,Female,94,High,3,Healthcare Representative,Married,10312,3465,1,Y,No,12,Excellent,80,1,40,3,2,40,10,15,6
6/9/2000,19,Yes,Travel_Rarely,528,Sales,22,Below College,Marketing,167,Very High,Male,50,High,1,Sales Representative,Single,1675,26820,1,Y,Yes,19,Excellent,80,0,0,2,2,0,0,0,0
6/10/2000,22,No,Travel_Rarely,594,Research & Development,2,Below College,Technical Degree,169,High,Male,100,High,1,Laboratory Technician,Married,2523,19299,0,Y,No,14,Excellent,80,1,3,2,3,2,1,2,1
